config_id,target,target_label,model,model_label,tuning_tier,candidate,feature_set,window_days,selection_status,selection_reason,evidence_family
CFG-001,occurrence,잔류 존재,logistic,Logistic Regression,A1_required_core,logistic_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-002,occurrence,잔류 존재,logistic,Logistic Regression,A2_internal_enhanced,logistic_extended,extended,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-003,occurrence,잔류 존재,logistic,Logistic Regression,B_external_sensitivity,logistic_core_plus_route_climate,core+route_climate,,sensitivity_candidate,"paired Recall 변화 +0.4533, 검증 모집단 연결률 23.7%; 외부변수 효과는 연결 모집단 한정 민감도 실험",route_climate_paired
CFG-004,occurrence,잔류 존재,catboost,CatBoost,A1_required_core,catboost_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-005,occurrence,잔류 존재,catboost,CatBoost,A2_internal_enhanced,catboost_conditional,conditional,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-006,occurrence,잔류 존재,catboost,CatBoost,B_external_sensitivity,catboost_extended_plus_country_climate,extended+country_climate,,strong_candidate,"paired Recall 변화 +0.0076, 검증 모집단 연결률 47.7%; 외부변수 효과는 연결 모집단 한정 민감도 실험",country_climate_paired
CFG-007,occurrence,잔류 존재,lightgbm,LightGBM,A1_required_core,lightgbm_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-008,occurrence,잔류 존재,lightgbm,LightGBM,A2_internal_enhanced,lightgbm_conditional,conditional,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-009,occurrence,잔류 존재,xgboost,XGBoost,A1_required_core,xgboost_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-010,occurrence,잔류 존재,xgboost,XGBoost,A2_internal_enhanced,xgboost_conditional,conditional,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-011,occurrence,잔류 존재,xgboost,XGBoost,B_external_sensitivity,xgboost_core_plus_route_climate,core+route_climate,,sensitivity_candidate,"paired Recall 변화 +0.0400, 검증 모집단 연결률 23.7%; 외부변수 효과는 연결 모집단 한정 민감도 실험",route_climate_paired
CFG-012,occurrence,잔류 존재,lstm,LSTM,A1_required_core,lstm_hybrid_window_90d,core_sequence,90.0,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-013,occurrence,잔류 존재,lstm,LSTM,B_external_sensitivity,lstm_extended_plus_country_climate,extended+country_climate,30.0,strong_candidate,"paired Recall 변화 +0.0244, 검증 모집단 연결률 47.7%; 외부변수 효과는 연결 모집단 한정 민감도 실험",country_climate_paired
CFG-014,screening,MRL 10% 관심농도,logistic,Logistic Regression,A1_required_core,logistic_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-015,screening,MRL 10% 관심농도,logistic,Logistic Regression,A2_internal_enhanced,logistic_extended,extended,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-016,screening,MRL 10% 관심농도,logistic,Logistic Regression,B_external_sensitivity,logistic_core_plus_route_climate,core+route_climate,,sensitivity_candidate,"paired Recall 변화 +0.0322, 검증 모집단 연결률 51.6%; 외부변수 효과는 연결 모집단 한정 민감도 실험",route_climate_paired
CFG-017,screening,MRL 10% 관심농도,catboost,CatBoost,A1_required_core,catboost_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-018,screening,MRL 10% 관심농도,catboost,CatBoost,A2_internal_enhanced,catboost_conditional,conditional,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-019,screening,MRL 10% 관심농도,catboost,CatBoost,B_external_sensitivity,catboost_extended_plus_country_climate,extended+country_climate,,sensitivity_candidate,"paired Recall 변화 +0.0078, 검증 모집단 연결률 14.0%; 외부변수 효과는 연결 모집단 한정 민감도 실험",country_climate_paired
CFG-020,screening,MRL 10% 관심농도,lightgbm,LightGBM,A1_required_core,lightgbm_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-021,screening,MRL 10% 관심농도,lightgbm,LightGBM,A2_internal_enhanced,lightgbm_conditional,conditional,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-022,screening,MRL 10% 관심농도,lightgbm,LightGBM,B_external_sensitivity,lightgbm_extended_plus_country_climate,extended+country_climate,,sensitivity_candidate,"paired Recall 변화 +0.0506, 검증 모집단 연결률 14.0%; 외부변수 효과는 연결 모집단 한정 민감도 실험",country_climate_paired
CFG-023,screening,MRL 10% 관심농도,xgboost,XGBoost,A1_required_core,xgboost_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-024,screening,MRL 10% 관심농도,xgboost,XGBoost,A2_internal_enhanced,xgboost_conditional,conditional,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-025,screening,MRL 10% 관심농도,xgboost,XGBoost,B_external_sensitivity,xgboost_extended_plus_domestic_weather,extended+domestic_weather,,strong_candidate,"paired Recall 변화 +0.0316, 검증 모집단 연결률 50.6%; 외부변수 효과는 연결 모집단 한정 민감도 실험",domestic_weather_paired
CFG-026,screening,MRL 10% 관심농도,lstm,LSTM,A1_required_core,lstm_hybrid_window_30d,core_sequence,30.0,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-027,screening,MRL 10% 관심농도,lstm,LSTM,B_external_sensitivity,lstm_extended_plus_domestic_weather,extended+domestic_weather,60.0,strong_candidate,"paired Recall 변화 +0.0620, 검증 모집단 연결률 50.6%; 외부변수 효과는 연결 모집단 한정 민감도 실험",domestic_weather_paired
CFG-028,noncompliance,기준 부적합,logistic,Logistic Regression,A1_required_core,logistic_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-029,noncompliance,기준 부적합,logistic,Logistic Regression,A2_internal_enhanced,logistic_extended,extended,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-030,noncompliance,기준 부적합,catboost,CatBoost,A1_required_core,catboost_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-031,noncompliance,기준 부적합,catboost,CatBoost,A2_internal_enhanced,catboost_conditional,conditional,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-032,noncompliance,기준 부적합,lightgbm,LightGBM,A1_required_core,lightgbm_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-033,noncompliance,기준 부적합,lightgbm,LightGBM,A2_internal_enhanced,lightgbm_conditional,conditional,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-034,noncompliance,기준 부적합,lightgbm,LightGBM,B_external_sensitivity,lightgbm_core_plus_route_climate,core+route_climate,,sensitivity_candidate,"paired Recall 변화 +0.0870, 검증 모집단 연결률 80.8%; 외부변수 효과는 연결 모집단 한정 민감도 실험",route_climate_paired
CFG-035,noncompliance,기준 부적합,xgboost,XGBoost,A1_required_core,xgboost_core,core,,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-036,noncompliance,기준 부적합,xgboost,XGBoost,A2_internal_enhanced,xgboost_conditional,conditional,,primary_internal_alternative,최대 F2의 95%와 최대 PR-AUC의 90%를 충족한 후보 중 Recall 최상,internal_full_population
CFG-037,noncompliance,기준 부적합,lstm,LSTM,A1_required_core,lstm_hybrid_window_30d,core_sequence,30.0,required,공식 Core 기준을 유지하고 5개 모델 모두 동일 기준에서 튜닝,internal_full_population
CFG-038,noncompliance,기준 부적합,lstm,LSTM,B_external_sensitivity,lstm_extended_plus_country_climate,extended+country_climate,30.0,sensitivity_candidate,"paired Recall 변화 +0.0227, 검증 모집단 연결률 66.1%; 외부변수 효과는 연결 모집단 한정 민감도 실험",country_climate_paired
